,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
AJAP1,0.0578228,0.2363282,1.13450045,0.17479227,0.18075821,0.17144318,0.271227795,0.05711553,0.040394115,0.0517554,0.038545015,0.06769653,0.081512155,0.025330194,0.08417827,0.092764324,0.137865245,0.05947157,0.157391115,0.118366835
TMEM182,0,0,0,0,0,0,0,0,0,0,0,0,0.002368503,0,0,0,0,0,0,0
TMEM181,0,0.011117303,0,0.010476299,0.003709731,0.005509816,0.014045532,0.002634624,0.00157415,0.001228339,0.01238106,0,0.003244892,0.02043321,0.017022123,0.012007385,0.008646101,0.011820009,0.005242136,0.013739659
TMEM180,0.108010265,0.028613178,0.27243387,0.056586443,0.100573437,0.110729015,0.0408069,0.05685924,0.05522615,0.043674485,0.059043195,0.06705456,0.082679575,0.12878047,0.036159285,0.05042249,0.03517844,0.07060912,0.05444709,0.113723645
TMEM187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM186,0.045689145,0,0,0.027878013,0.028411656,0.018623411,0.018651164,0.06575722,0.023388827,0.015181819,0.016464212,0.06799891,0.053122815,0.001287766,0,0,0,0.038699585,0.002570773,0.030596245
TMEM189,0.022601089,0,0,0,0,0,0,0,0,0,0,0,0.001830366,0,0.009973869,0.003092934,0.004103883,0,0,0
HCAR3,0.72142075,1.1642915,4.49801,0.5889108,2.291943,2.255199,1.2235403,2.535327,1.4991364,1.849555,1.3051131,1.41254255,1.963517,0.54923005,1.1007403,1.3263627,1.54884445,1.6283737,1.1915637,1.40808505
HCAR2,0,0.05591487,0.34092505,0.06265794,0.3825908,0.36229095,0.106804515,0.303148715,0.21194379,0.250308065,0.07211437,0.140887115,0.303540325,0.106509468,0.04883708,0.099809787,0.083996585,0.143385005,0.08782752,0.03038662
HCAR1,0.05847546,0.05088751,0.54824945,0.014465004,0.077358135,0.04774548,0.024350606,0.057011595,0.118860975,0.037604995,0.050171915,0.092584245,0.054637295,0.1263347,0.018926221,0.15671017,0.13286144,0.072073685,0.126061545,0.169376665
SCGB1A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAF7,0,0.019170786,0,0.044538425,0,0,0.011860957,0,0.00412409,0.000898427,0,0,0,0.00102153,0.023874539,0.012062134,0,0.014750473,0.014146551,0.00830137
TAF6,0,0,0,0,0.00067308,0,0,0.001428926,0,0.003761455,0,0.001534738,0,0.004694596,0.005346811,0.013024878,0.002807862,0.002798598,0,0
TAF5,0.26182197,0.2395627,0.78965705,0.3281259,0.06983894,0.128033,0.224665645,0.082488555,0.071392625,0.07258975,0.185039455,0.12049282,0.0984542,0.000443884,0.08347746,0.03341707,0.07065924,0.090532175,0.045355638,0.05621661
TAF4,0,0,0,0.011150348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAF3,0.4997955,0.6773384,2.751749,0.5319995,0.329701,0.3760631,0.7250844,0.059206955,0.087552965,0.068583915,0.11672178,0.14294106,0.100731734,0.41905645,0.19195871,0.089743165,0.139398765,0.11454042,0.18391568,0.27159632
TAF2,0.027017281,0.03781429,0,0.016220673,0.023577319,0.019351129,0.027640209,0.029027207,0.023327227,0.03305,0,0.03450349,0.005762836,0.19525299,0.015045689,0.03181359,0.054411645,0.009305517,0.029027207,0.046900625
TAF1,0.54694315,0.5566458,0,0.60356125,0.38395405,0.51974045,1.0252907,0.4768497,0.45046445,0.48384745,0.62428995,0.56368565,0.54257945,0.170335245,0.66747615,0.4086979,0.5319995,0.4930353,0.4259148,0.7040946
LOC100507632,0,0,0,0,0,0.003495674,0,0,0,0,0,0.007221923,0,0,0,0,0,0,0,0
HMOX1,0,0,0,0,0,0,0,0,0,0.006514776,0,0,0,0,0,0,0,0,0,0
LOC100507634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMOX2,0.14522829,0.1800934,0,0.099925146,0.27678864,0.2770074,0.124506885,0.35459915,0.290772555,0.45512825,0.25753503,0.42473695,0.37739855,0.132674305,0.45046445,0.223326905,0.37987855,0.32279395,0.174284075,0.39324865
TSPAN32,0.04807348,0.03169145,0,0,0.01330661,0.019706329,0,0.007070162,0.008024578,0.02503044,0.07281543,0.036178155,0,0.01725727,0.028122417,0.010779913,0.05444709,0.027026689,0,0.015670531
TSPAN33,0.54629645,0.5257267,0,0.58425625,0.58678255,0.9546761,0.49001395,0.51630695,0.56723205,0.3489542,0.62113235,1.05738265,0.74154145,0.9896174,1.0554456,0.8953308,0.56921495,0.67263525,1.2365631,1.1406129
TSPAN31,0,0,0,0,0.003270036,0.006400053,0,0.00052115,0.005915408,0.000507983,0,0,0.000670903,0.017145033,0,0.00157415,0,0.001925852,0,0
ALAD,0,0,0,0,0.000297296,0.002345657,0,0.01398042,0.009270306,0.002438024,0.025154767,0,0,0.004269438,0,0.005371365,0.002786561,0,0.009802681,0
